Datetime,Text,Username
2023-03-15 23:59:59+00:00,Contoh Perhitungan Biaya Pembangunan Infrastruktur Sosial Yang Dibebankan Sekaligus Sebagai Pengurang Penghasilan Bruto Dalam Hal Pembangunan Infrasturktur Sosial Dilaksanakan Lebih Dari 1 (Satu) Tahun Pajak https://t.co/TaPPmT5Jtg,wibowopajak
2023-03-15 23:59:54+00:00,"@kring_pajak Lama bgt min, keburu 31 maret",chamaroo1
2023-03-15 23:59:38+00:00,"@kring_pajak #LupaEFIN
1. WP pribadi
2. sudah aktivasi",erenwe_
2023-03-15 23:59:22+00:00,"Si perusak image Pajak,tertawa diatas KESENGSARAAN RAKYAT dan WAJIB PAJAK,Tapi masih berkeliaran,hiduplah indonesia raya....................",andyrobysamsung
2023-03-15 23:59:19+00:00,"@logikapolitikid Bener2 taik di ksh nyawa ya ni org,harta haram banyak ajah yg beginian msh dilakoni, bapaknya pun bayar pajak mung 300k coba,coeg kebangetan..",liea_archerries
2023-03-15 23:58:28+00:00,"Itu karena pemerintahan hanya pandai menarik pajak, namun tdk pandai menambah penghasilan pendapatan negara melalui produksi, produksi itu lbh baik dan pandai dari kemenkeu 😃. Kerjanya hanya peras pajak rakyat sedikit bodoh",idunbintang3
2023-03-15 23:58:26+00:00,"@arivpermana @GunRomli Gak bakal kebagian, dikeruk asing semua bang wkwk, yang penting kerja dan bayar pajak kan bang biar pejabatnya pada hidup mewah",Cihamtok
2023-03-15 23:58:01+00:00,"Salah satu anak dari negri Vrindapan, bapaknya pegawe pajak, ibu bea cukai kakek purnawirawan jendral. https://t.co/q2h3udiYIa",OnlyFrens
2023-03-15 23:57:59+00:00,"@kring_pajak Wokeh @kring_pajak 
#lupaEFIN 
Saya ingin melakukan pelaporan SPT tahunan tapi muncul keterangan EFIN tidak sesuai pada saat saya ajukan permintaan lupa kata sandi. Sedangkan EFIN yang saya gunakan adalah sama dengan EFIN yang saya gunakan pada spt tahun kemarin. Mohon petunjuk",PALLAWA_KNIGHT
2023-03-15 23:57:49+00:00,@GunRomli Khalid tak mau bayar pajak jangan lewat jalan darat karena dibangun dari pajak rakyat,adrianusand
2023-03-15 23:57:07+00:00,@DitjenPajakRI ini digajinya pake uang pajak?,utpux
2023-03-15 23:56:50+00:00,KH Said Aqil: Tidak Usah Bayar Pajak kalau Pejabatnya Masih Korupsi @arrahmah #arrahmahcom https://t.co/GGWUHVgknc,arrahmah
2023-03-15 23:56:41+00:00,"@kring_pajak @DitjenPajakRI Pagi min, sudah resolve. Sudah lapor dan terima bps per pagi ini. Selama 2 minggu kmrn, saya coba nya pas weekend, dan erornya seperti ini, yang akses dilokasi berbeda pun, teman saya pun sama dg eror tsb. https://t.co/cPwXZKtzYT",Ifah_faah
2023-03-15 23:56:38+00:00,"Semakin nyata dan pahamkan bahwa para petugas negara sudah terbiasa dalam merugikan negara dan masyarakat taat pajak, belum lagi mereka dengan percaya dirinya memperlihatkan hartanya di depan masyarakat.

Gak tau malu",goehnugraha
2023-03-15 23:56:00+00:00,@Angkaa8 @txtdrpemerintah Maksudnya semua pegawai pajak layak dpt gaji tinggi?,siregarsurya
