label,abstrak
positif,"Pada Jumat, 2 Desember 2022 PSSI mengumumkan kelanjutan kompetisi dengan tata kelola sesuai rekomendasi (sementara) tanpa penonton setelah tertunda akibat Tragedi Kanjuruhan 1 Oktober 2022.  https://t.co/gMRLBtUXkt"
positif,"Pemerintah mengumumkan sisa laga Liga 1 yang sempat dihentikan, akan kembali dilanjutkan. Keputusan ini dikeluarkan sesudah pecahnya tragedi Kanjuruhan beberapa waktu lalu.  De Gea Spain Ronaldo BRImo #JokowiPresidenku  #JokowiHebat #FIFAWorldCup  #FIFAWorldCup2022  #fifainhindi  https://t.co/I0KFZsOZB1"
positif,"Pemerintah mengumumkan sisa laga Liga 1 yang sempat dihentikan, akan kembali dilanjutkan. Keputusan ini dikeluarkan sesudah pecahnya tragedi Kanjuruhan beberapa waktu lalu.  De Gea Spain Ronaldo BRImo #JokowiPresidenku  #JokowiHebat #FIFAWorldCup  #FIFAWorldCup2022  #fifainhindi  https://t.co/AaRCAEOKoQ"
positif,Pemerintah Izinkan Kembali Liga 1 Bergulir Pasca Tragedi Kanjuruhan - Riaunews  https://t.co/6bJJlb32UX
positif,"Pemerintah mengumumkan sisa laga Liga 1 yang sempat dihentikan, akan kembali dilanjutkan. Keputusan ini dikeluarkan sesudah pecahnya tragedi Kanjuruhan beberapa waktu lalu.  De Gea Spain Ronaldo BRImo #JokowiPresidenku  #JokowiHebat #FIFAWorldCup  #FIFAWorldCup2022  #fifainhindi  https://t.co/5v86cI4SW7"
positif,"Lha teros ono solusi pripun .. 135 nyowo iki Pak DPRD dan tdk ada kemajuan hukum e, #Tragedikanjuruhan kersane di urusi derek² malang ...embonge seng bolong kabeh niku lho sampean urusi mawon pak... 🙏🙏🙏 @infomalang  https://t.co/B7MYNreOrI"
positif,"Pemerintah memutuskan untuk melanjutkan Liga 1 yang sebelumnya tertunda akibat tragedi di Stadion Kanjuruhan. Menpora Zainudin Amali, mengatakan bahwa rekomendasi-rekomendasi terkait evaluasi tragedi Kanjuruhan juga berjalan secara paralel.  https://t.co/2xFg6or6bX"
positif,"Pemerintah memutuskan untuk melanjutkan kompetisi sepak bola Liga 1 yang sebelumnya sempat tertunda akibat adanya tragedi di Stadion Kanjuruhan, sebagaimana dijelaskan Menpora Zainudin Amali, di Kompleks Istana Kepresidenan, Jakarta, Selasa, 6 Desember 2022.  https://t.co/9nJEDJeuSc"
positif,"Pemerintah memutuskan untuk melanjutkan kompetisi sepak bola Liga 1 yang sebelumnya sempat tertunda akibat adanya tragedi di Stadion Kanjuruhan, sebagaimana dijelaskan Menpora Zainudin Amali, di Kompleks Istana Kepresidenan, Jakarta, Selasa, 6 Desember 2022.  https://t.co/n3cdt9F699"
positif,@DevilFromIsrael @garagarabola_ Ini soal tragedi kanjuruhan bukan timnas.
positif,"Pemerintah @jokowi memutuskan untuk melanjutkan kompetisi sepak bola Liga 1 yang sebelumnya sempat tertunda akibat adanya tragedi di Stadion Kanjuruhan, Kabupaten Malang.  Bagi penyuka sepak bola, ada kabar bagus..   @KEMENPORA_RI  https://t.co/EtD7a9sQV9"
positif,#Justiceforall#RevolusiHukumdanKeadilan #TragediKanjuruhan#TragediPembantaianKM50#TragediPemilu2019.
positif,Selamat pagi Pak @jokowi.  Enake Tragedi Kanjuruhan iki diapakno?
positif,keren ya! spanyol mampu disingkirkan maroko#ojolali!TragediKanjuruhan.
positif,"Mosok gak isin ambek keluarga korban, mosok gak isin ambek supporter Seng terus2 an memperjuangkan usut tuntas. Koen lek respect ng kasus iki,  mudun ng liga 3 pun aremania bakal ngancani @AremafcOfficial @AREMA1986Merch @rodrigosantono @OngisnadeNet"
positif,"-THREAD- Kaget ndelok TV kok ono liga 1. Loh tibake wes mlaku neh. Dan arema engkok main. Kok iso yo? 😅 Lek aku dadi arema, buat pergerakan vakum dari liga sbelum kasus clear.  Kau tetap di liga 1 pun kalau aremania gak respect meneh iso opo koen?"
positif,"@IKorleko @garagarabola_ Udah lah, lu gausah menbenci dan berlindung dibalik tragedi kanjuruhan. Bukan dia penyebab utama, TAPI FANS NYA YG MULAI DULUAN."
positif,"Pemerintah melalui Menpora Zainudin Amali memutuskan untuk melanjutkan kompetisi sepak bola Liga 1 yang sebelumnya sempat tertunda akibat adanya tragedi di Stadion Kanjuruhan. Sementara itu, rekomendasi-rekomendasi terkait evaluasi tragedi Kanjuruhan juga berjalan secara paralel.  https://t.co/87k7TJKDGp"
positif,Terus Kapan Anda Mengusut Tragedi Kanjuruhan? Ingin Ku Berkata Kasar Dan Sumpah Serapah Terhadap Kinerja Anda Dan PSSI.
positif,"Menteri Pemuda dan Olahraga (Menpora), Zainudin Amali, dalam keterangannya di Kompleks Istana Kepresidenan, Jakarta, Selasa, 6 Desember 2022, mengatakan bahwa rekomendasi-rekomendasi terkait evaluasi tragedi Kanjuruhan juga berjalan secara paralel.  https://t.co/yTjPggWkIF"
positif,"Pemerintah Putuskan Kompetisi Liga 1 Dilanjutkan  Pemerintah memutuskan untuk melanjutkan kompetisi sepak bola Liga 1 yang sebelumnya sempat tertunda akibat adanya tragedi di Stadion Kanjuruhan, Kabupaten Malang.  𝗝𝗼𝗸𝗼𝘄𝗶 𝗣𝗿𝗼 𝗣𝗿𝗲𝘀𝘁𝗮𝘀𝗶 𝗢𝗹𝗮𝗵𝗿𝗮𝗴𝗮  https://t.co/PYdpGjto4r"
positif,Indonesia Lanjutkan Liga Sepak Bola Pasca Tragedi Stadion Kanjuruhan    https://t.co/tEzpgx2h0z
positif,Pemerintah memutuskan untuk melanjutkan kompetisi sepak bola Liga 1 yang sebelumnya sempat tertunda akibat adanya tragedi Kanjuruhan -    https://t.co/vpTUl22wKg
positif,Naif gak sih kalo aku berharap media barat sekelas NYT ngomongin pasal problematik lain gak cuma soal sex apalagi isi artikelnya bawa2 islam? Kemaren ngulik tragedi Kanjuruhan udah keren loh bisa ambil banyak POV
positif,"@iriawan84 Hati ini belum ikhlas belum bisa terima, apalagi kasusnya belum jelas sampai sekarang...  Masih terbayang kengerian tragedi Kanjuruhan, kesedihan keluarga korban.  Alfatihah untuk para Korban."
positif,"Tragedi Kanjuruhan jadinya cuma begitu aja, ya? Rezim udah paham kelemahan rakyatnya"
positif,"Setelah tragedi kanjuruhan, Sepak Bola Indonesia udah gak penting sama sekali dari timnas sampe liga nya 🙏🏼"
positif,"@MafiaWasit sayangnya kerusuhan di stadion sering terjadi diindonesia, yg membedakan hanya tragedi kemarin gas air mata di kanjuruhan. harusnya karena tragedi ini semua elemen persepakbolaan indonesia bisa bersatu, berubah menjadi lebih baik seperti tragedi inggris dulu."
positif,"hari ini, rasa seneng sama sedih jadi campur aduk, liat tim kebanggaan main lagi di kasta tertinggi sepakbola indonesia. euforia buat nonton ga kaya dulu lagi semenjak tragedi kanjuruhan, liga mulai lagi tanpa adanya keadilan buat para korban."
positif,@idextratime Ini juga logo eti dah kembali berwarna. Jadi liga 1 bergulir kembali itu tanda tragedi kanjuruhan udh selesai ya? Hmmm
positif,"@Indostransfer Bener juga, sekarang akun fanspage bola udh pada berubah warna semua ya. Udah selesai nih tragedi kanjuruhan?"
positif,@Robbi_07 @dhezadevany @rifkis990 @VIVAcoid tp banyak juga yang vakum lama atau bahkan pensiun dr dunia tribun. Ya karena dah kebangetan tragedi kanjuruhan kemarin ditambah dualisme yang tak kunjung usai.
positif,"Tertunda Akibat Tragedi Kanjuruhan, Pemerintah Putuskan Sepak Bola Liga 1 Dilanjutkan  Selengkapnya klik dilaman @m_radarnew  https://t.co/dL4OmECqjw"
positif,"@sandyk0426 @ngalamfess Halo! Salam Kenal  Kami kelompok 3 mahasiswi Perpajakan FIA Universitas Brawijaya sedang melakukan penelitian terkait Tragedi Kanjuruhan yang terjadi di Malang. mohon kesediannya untuk mengisi kuesioner kami, atas perhatiannya kami ucapkan terima kasih!  ‼️ https://t.co/tGP3NafP3q"
positif,"@iriawan84 Maaf selama tidak ada reformasi menyeluruh dari pemangku kepentingan di @PSSI dan pengusutan tuntas tragedi Kanjuruhan,saya putuskan off nonton @Liga1Match  baik itu di TV atau di stadion #UsutTuntasTragediKanjuruhan"
positif,oyi ada yg bersedia ngisi kuesioner tentang tragedi kanjuruhan ga? nanti aku drop linknya di reply!!🥹🥹
negatif,"@VIVAcoid Lo yg salah go blok! Kalo suporter brengsek lo gak nyerbu masuk lapangan, gak akan ada tragedi di kanjuruhan itu! Liat kini, semua klub kena imbas gara² ulah primitif kalian! Kalo kalian masih belum puas ingin menghancurkan sepakbola indonesia, tahun depan kalian rusuh aja lagi!"
positif,"bulan sudah desember,  sebentar lagi berganti kalender.  tragedi kanjuruhan masih belum ada pertanggungjawaban.  orang-orang yg di pikirannya hanya duit itu sudah mulai bal-balan. mengabaikan nyawa yang hilang, tak malu segala hestek palsu dipasang.  watak kalian tak tertolong."
positif,Aneh bgt negara ini..belum kelar siapa yg harus bertanggung jawab penuh tragedi kanjuruhan tp kompetisi sdh digelar..murah sekali nyawa para korban dan sebagian penonton yg masi hidup dan berjuang sembuh..hati para orng tua yg terluka??dimana empati km wahai para pemimpin??
positif,"Menteri Pemuda dan Olahraga (Menpora), Zainudin Amali, dalam keterangannya di Kompleks Istana Kepresidenan, Jakarta, Selasa, 6 Desember 2022, mengatakan bahwa rekomendasi-rekomendasi terkait evaluasi tragedi Kanjuruhan juga berjalan secara paralel.  https://t.co/msgYLXiaXy"
positif,"Pemerintah memutuskan untuk melanjutkan kompetisi sepak bola Liga 1 yang sebelumnya sempat tertunda akibat adanya tragedi di Stadion Kanjuruhan, Kabupaten Malang.  https://t.co/z3Ntv53xlE"
positif,"@hudakauts Diego said ""usut tuntas tragedi kanjuruhan"""
positif,"Pemerintah memutuskan untuk melanjutkan kompetisi sepak bola Liga 1 yang sebelumnya sempat tertunda akibat adanya tragedi di Stadion Kanjuruhan, Kabupaten Malang. Menteri Pemuda dan Olahraga (Menpora), Zainudin Amali, dalam keterangannya di Kompleks Istana Kepresidenan, Jakarta  https://t.co/ZcRbWUxIp4"
positif,@Hadisofyand @VIVAcoid Suporter arema itu menolak rekomendasi TGIPF. Itu sama dengan menolak bantuan hukum pemerintah.  Lantas mau apa ? Nunggu arema sendiri yg nyelesai'in baru liga di putar. Mereka saja tidak bisa mnyelesaikan dualismenya kok berharap nyelesai'in tragedi kanjuruhan.
positif,"@pssi @Liga1Match banned yang byk dan larang main yg lama si diego michiels, baru jg pertandingan pertama setelah tragedi kanjuruhan, cb tadi klo ada penonton, bs tambah panas lagi situasi di tribun dgn aksi bodohnya."
